name,company,title,email,phone,whatsapp,telegram_username,industry,company_size,context,source,status
,ГК «Сигма-Профи»,,info@sigma-profi.com,,,,"Охрана и безопасность, физическая защита объектов",,Файл: leadgen_gemini_old.xlsx,sigma-profi.com,
,АН-Секьюрити,,info@an-cyber.ru,,,,Комплексные системы безопасности и охрана объектов,,Файл: leadgen_gemini_old.xlsx,an-security.ru,
,Сигма-АС,,info@sigma-as.ru,,,,"Техническая охрана, мониторинг и системы безопасности",,Файл: leadgen_gemini_old.xlsx,sigma-as.ru,
,ЧОП «Баярд»,,bayard-omsk@mail.ru,,,,Частное охранное предприятие (Омск),,Файл: leadgen_gemini_old.xlsx,bayard-omsk.ru,
,СОБР,,sobr94@mail.ru,,,,Частное охранное агентство (Екатеринбург),,Файл: leadgen_gemini_old.xlsx,sobr-ekb.ru,
,ООО ЧОО «Трансблок»,,transblok1@yandex.ru,,,,Охранные услуги федерального масштаба,,Файл: leadgen_gemini_old.xlsx,transblok.ru,
,ООО «Адмирал»,,info@admiralnn.ru,,,,Частная охранная организация (Нижний Новгород),,Файл: leadgen_gemini_old.xlsx,admiralnn.ru,
,Atelica Hotel Group,,info@atelica.ru,,,,Сеть загородных и курортных отелей,,Файл: leadgen_gemini_old.xlsx,atelica.ru,
,Wone Hotels,,reservations@wone-hotels.com,,,,Управление отелями (экс-Palace Bridge),,Файл: leadgen_gemini_old.xlsx,palacebridge.ru,
,Novikov Group,,info@novikovgroup.ru,,,,Крупнейший российский ресторанный холдинг,,Файл: leadgen_gemini_old.xlsx,novikovgroup.ru,
,Maison Dellos,,hr@maison-dellos.com,,,,Ресторанная сеть (премиум сегмент),,Файл: leadgen_gemini_old.xlsx,maison-dellos.com,
,Ginza Project,,spb@ginzaproject.com,,,,Международный ресторанный холдинг,,Файл: leadgen_gemini_old.xlsx,ginza.ru,
,Amaks Hotels & Resorts,,kazan@amaks-hotels.ru,,,,Гостинично-ресторанная сеть (филиал Казань),,Файл: leadgen_gemini_old.xlsx,amaks-hotels.ru,
,ГК «Медси»,,info@medsigroup.ru,,,,Федеральная сеть медицинских центров,,Файл: leadgen_gemini_old.xlsx,medsi.ru,
,ГК «Медскан»,,office@medscangroup.ru,,,,"Медицинский холдинг (диагностика, онкология)",,Файл: leadgen_gemini_old.xlsx,medscangroup.ru,
,ГК «Мать и дитя»,,info@mcclinics.ru,,,,Сеть госпиталей и женских консультаций,,Файл: leadgen_gemini_old.xlsx,mcclinics.ru,
,СМ-Клиника,,claim@smpost.ru,,,,Сеть многопрофильных медицинских центров,,Файл: leadgen_gemini_old.xlsx,smclinic.ru,
,Клиника «Платан»,,info@platan-nn.ru,,,,Частный медицинский центр (Нижний Новгород),,Файл: leadgen_gemini_old.xlsx,platan-nn.ru,
,ЭВАЖД,,orgotdel@evagd.ru,,,,Эксплуатация высотных жилых домов,,Файл: leadgen_gemini_old.xlsx,evagd.ru,
,ГлавУпДК,,info@updk.ru,,,,Сервисное обслуживание и эксплуатация зданий,,Файл: leadgen_gemini_old.xlsx,updk.ru,
,Смарт-Сервис,,info@smart-centr.com,,,,Управление жилой недвижимостью премиум-класса,,Файл: leadgen_gemini_old.xlsx,smart-centr.com,
,ООО УК «Гарант»,,ukgarant@ukgarant-nsk.ru,,,,Управляющая компания ЖКХ (Новосибирск),,Файл: leadgen_gemini_old.xlsx,ukgarant-nsk.ru,
,ООО «Юнисервис»,,info@uniservis.org,,,,Комплексное обслуживание жилого фонда,,Файл: leadgen_gemini_old.xlsx,юнисервис.рф,
,ООО «УК Жилищный фонд»,,info@uk-gf.ru,,,,Управляющая компания (Казань),,Файл: leadgen_gemini_old.xlsx,uk-gf.ru,
,Альмин Клининг,,info@almin-cleaning.ru,,,,Профессиональная уборка и клининг для бизнеса,,Файл: leadgen_gemini_old.xlsx,almin-cleaning.ru,
,Чистый Терем,,zakaz@cleanterem.ru,,,,Клининговые услуги для коммерческих помещений,,Файл: leadgen_gemini_old.xlsx,cleanterem.ru,
,ООО «Балкис»,,7411601@mail.ru,,,,Профессиональная уборка помещений в Москве,,Файл: leadgen_gemini_old.xlsx,balkis.ru,
,ООО «Авалон»,,avalon-cleaning@mail.ru,,,,Клининговая компания (Самара),,Файл: leadgen_gemini_old.xlsx,avalon-cleaning.ru,
,ООО «Чистодел»,,admin@chistodel.com,,,,Клининговые услуги (Ростов-на-Дону),,Файл: leadgen_gemini_old.xlsx,chistodel.com,
,Курьер Сервис Экспресс,,info@cse.ru,,,,Экспресс-доставка и складская логистика,,Файл: leadgen_gemini_old.xlsx,cse.ru,
,Dostavista,,accounts@dostavista.ru,,,,Краудсорсинговая служба доставки,,Файл: leadgen_gemini_old.xlsx,dostavista.ru,
,СДЭК,,b2b_dogovor@cdek.ru,,,,Логистические решения и экспресс-почта,,Файл: leadgen_gemini_old.xlsx,cdek.ru,
,Пешкарики,,info@peshkariki.ru,,,,Курьерская служба для интернет-магазинов,,Файл: leadgen_gemini_old.xlsx,peshkariki.ru,
,Воронежский логистический союз,,vlc-tk@mail.ru,,,,Региональная логистика и грузоперевозки,,Файл: leadgen_gemini_old.xlsx,vlc-tk.ru,
,ЧОП «Спецохрана»,,specohrana@inbox.ru,,,,Физическая охрана объектов и ГБР (Ростов-на-Дону),,Файл: leadgem_gemini_new.xlsx,,
,ЧОП «Сатурн»,,saturn@infoural.com,,,,"Охранное агентство, постовая и пультовая охрана (Екатеринбург)",,Файл: leadgem_gemini_new.xlsx,,
,ЧОП «Талион»,,info@choptalion.ru,,,,"Центральный офис охраны, сопровождение грузов (Екатеринбург)",,Файл: leadgem_gemini_new.xlsx,,
,ЧОП «Град»,,Grad-e@mail.ru,,,,Лицензированные охранные услуги (Екатеринбург),,Файл: leadgem_gemini_new.xlsx,,
,ЧОП «Баярд» (Омск),,bayard-omsk@mail.ru,,,,Охрана объектов и мобильные группы (Омск),,Файл: leadgem_gemini_new.xlsx,,
,ЧОП «Боярд» (Волгоград),,vlg-boyard2007@yandex.ru,,,,Охрана государственных и частных учреждений,,Файл: leadgem_gemini_new.xlsx,,
,ЧОП «Бумеранг»,,bumerang52@list.ru,,,,Техническая охрана и мониторинг (Нижний Новгород),,Файл: leadgem_gemini_new.xlsx,,
,ЧОП «Витязь»,,aboxrana@yandex.ru,,,,Агентство безопасности и пультовая охрана (Нижний Новгород),,Файл: leadgem_gemini_new.xlsx,,
,ЧОО «Адмирал»,,info@admiralnn.ru,,,,Частная охранная организация (Нижний Новгород),,Файл: leadgem_gemini_new.xlsx,,
,ЧОП «Защита»,,zahita116@mail.ru,,,,"Охранное предприятие, штат до 100 чел. (Казань)",,Файл: leadgem_gemini_new.xlsx,,
,ЧОП «Буцефал»,,bucefal.nnov@yandex.ru,,,,Комплексные услуги безопасности (Нижний Новгород),,Файл: leadgem_gemini_new.xlsx,,
,ЧОП «Патриот»,,info@patriot77.com,,,,Союз охранных организаций (Москва/регионы),,Файл: leadgem_gemini_new.xlsx,,
,ЧОП «Сигма-АС»,,info@sigma-as.ru,,,,Техническая охрана и системы видеонаблюдения,,Файл: leadgem_gemini_new.xlsx,,
,УК «РестПрофи»,,restprofi.reception@gmail.com,,,,Управление локальной сетью ресторанов (Ростов-на-Дону),,Файл: leadgem_gemini_new.xlsx,,
,Bulatov Group,,info@bulatovgroup.ru,,,,Региональная ресторанная группа (Казань),,Файл: leadgem_gemini_new.xlsx,,
,USTA Management,,garceva.ya@ustagroup.ru,,,,Управление отелями и корпоративное питание (Екатеринбург),,Файл: leadgem_gemini_new.xlsx,,
,Отель Green Line,,info@greenline-hotel.ru,,,,Загородный отель и бизнес-центр (Самара),,Файл: leadgem_gemini_new.xlsx,,
,7 Avenue Hotel,,info@7avenuehotels.com,,,,Гостинично-ресторанный комплекс (Самара),,Файл: leadgem_gemini_new.xlsx,,
,Хорека-СПб,,horecaspbzakaz@yandex.ru,,,,Снабжение и логистика для индустрии гостеприимства,,Файл: leadgem_gemini_new.xlsx,,
,ГК «Respect»,,omp2005@mail.ru,,,,Ресторанная группа (Самара),,Файл: leadgem_gemini_new.xlsx,,
,Клиника «Платан»,,info@platan-nn.ru,,,,Многопрофильный медицинский центр (Нижний Новгород),,Файл: leadgem_gemini_new.xlsx,,
,Клиника «Медис»,,info@medisnn.ru,,,,Медицинские осмотры и диагностика (Нижний Новгород),,Файл: leadgem_gemini_new.xlsx,,
,ММЦ «УРО-ПРО»,,rostov@upclinic.ru,,,,Специализированный медицинский центр (Ростов-на-Дону),,Файл: leadgem_gemini_new.xlsx,,
,МЦ «Славия»,,info@slavia-rostov.ru,,,,Частная многопрофильная клиника (Ростов-на-Дону),,Файл: leadgem_gemini_new.xlsx,,
,«Моя Клиника»,,moya.klinika@yandex.ru,,,,Семейный медицинский центр (Ростов-на-Дону),,Файл: leadgem_gemini_new.xlsx,,
,МЦ «Авиценна»,,avicennaros@mail.ru,,,,Профилактические осмотры персонала (Ростов-на-Дону),,Файл: leadgem_gemini_new.xlsx,,
,Клиника «Здоровье 365»,,info@zdorovo365.ru,,,,Сеть медицинских центров (Екатеринбург),,Файл: leadgem_gemini_new.xlsx,,
,«Новая больница»,,prime@newhospital.ru,,,,Многопрофильное медицинское объединение (Екатеринбург),,Файл: leadgem_gemini_new.xlsx,,
,«Здоровая Семья»,,zdorsemya.16@yandex.ru,,,,Частная семейная медицина (Екатеринбург),,Файл: leadgem_gemini_new.xlsx,,
,Клиника «Александровская»,,alexandrclinic.chel@yandex.ru,,,,Семейная медицина и диагностика (Челябинск),,Файл: leadgem_gemini_new.xlsx,,
,Клиника «Кемма»,,kemmamed@mail.ru,,,,Многопрофильный медцентр (Челябинск),,Файл: leadgem_gemini_new.xlsx,,
,«Семейная Клиника №1»,,info@msch1.ru,,,,"Частная медицина, штат до 100 чел. (Самара)",,Файл: leadgem_gemini_new.xlsx,,
,МЦ «Династия»,,06030@mail.miac.samregion.ru,,,,Специализированный медицинский центр (Самара),,Файл: leadgem_gemini_new.xlsx,,
,Клиника «Призвание»,,info@clinica-prizvanie.ru,,,,Многопрофильный центр (Самара),,Файл: leadgem_gemini_new.xlsx,,
,«ЭлМедКлиник»,,2476544@mail.ru,,,,Стоматология и профосмотры (Самара),,Файл: leadgem_gemini_new.xlsx,,
,Global Clinic,,nn@globalclinic.su,,,,Частный медицинский центр (Нижний Новгород),,Файл: leadgem_gemini_new.xlsx,,
,«Профмед»,,profmedvrn@mail.ru,,,,Медицинский центр для работы с организациями (Воронеж),,Файл: leadgem_gemini_new.xlsx,,
,МЦ «Евклипт»,,info@evkaliptmed.ru,,,,Сеть частных клиник (Воронеж),,Файл: leadgem_gemini_new.xlsx,,
,ООО «ПЖК»,,ooopgk2016@mail.ru,,,,Профессиональная жилищная компания (Казань),,Файл: leadgem_gemini_new.xlsx,,
,УК «ПЖКХ»,,ooopgkh@mail.ru,,,,Сервисная компания и региональный оператор (Казань),,Файл: leadgem_gemini_new.xlsx,,
,УК «Краснодар комфорт»,,kkomfort13@mail.ru,,,,Управляющая компания (Краснодар),,Файл: leadgem_gemini_new.xlsx,,
,УК «Краснодар»,,uk.krasnodar@gmail.com,,,,Жилищно-коммунальное управление (Краснодар),,Файл: leadgem_gemini_new.xlsx,,
,УК «Ростов Дон»,,elenakmt@mail.ru,,,,Управляющая компания ЖКХ (Ростов-на-Дону),,Файл: leadgem_gemini_new.xlsx,,
,УК «Гарант»,,ukgarant@ukgarant-nsk.ru,,,,Управляющая компания жилого фонда (Новосибирск),,Файл: leadgem_gemini_new.xlsx,,
,УК «Стандарт»,,standart@zhkh54.ru,,,,Сервисная служба в сфере ЖКХ (Новосибирск),,Файл: leadgem_gemini_new.xlsx,,
,УК «Новый город»,,inform@nskreu2.ru,,,,Управление и эксплуатация зданий (Новосибирск),,Файл: leadgem_gemini_new.xlsx,,
